Soil Type,Previous Crop,Acre of Land,Rainfall Frequency,Porosity,Recommended Crop
Loamy,Lentils,4,Medium,Medium,Peas
Silty,Corn,11,Low,Low,Rice
Clay,Peas,4,High,Medium,Cotton
Silty,Soybean,5,Low,Medium,Soybean
Loamy,Corn,4,Low,Low,Corn
Chalky,Lentils,5,High,Low,Oats
Chalky,Soybean,11,Medium,Low,Barley
Silty,Corn,14,High,Low,Soybean
Sandy,Peas,14,Low,High,Cotton
Peaty,Barley,14,Low,High,Lentils
Chalky,Wheat,6,Medium,Medium,Flaxseed
Chalky,Soybean,11,Low,Medium,Barley
Chalky,Tomato,19,High,Medium,Oats
Chalky,Soybean,15,High,Low,Barley
Sandy,Sesame,2,High,High,Cotton
Chalky,Corn,5,High,Medium,Oats
Sandy,Corn,14,Low,Medium,Cotton
Clay,Wheat,7,Low,Medium,Coffee
Loamy,Lentils,12,High,High,Sunflower
Peaty,Sugarcane,2,High,Medium,Soybean
Peaty,Sunflower,8,High,High,Soybean
Clay,Barley,4,High,Medium,Cabbage
Chalky,Tomato,18,High,Low,Flaxseed
Sandy,Corn,13,Medium,High,Millets
Clay,Lentils,8,Low,High,Cabbage
Loamy,Lentils,5,High,Medium,Corn
Sandy,Millets,16,High,High,Cotton
Chalky,Lentils,4,Low,High,Flaxseed
Silty,Soybean,4,High,Low,Tomato
Chalky,Tomato,4,Low,Medium,Barley
Chalky,Sugarcane,12,High,Medium,Flaxseed
Chalky,Mustard,15,High,Medium,Flaxseed
Silty,Peas,17,Medium,Low,Rice
Chalky,Wheat,7,High,Low,Barley
Silty,Corn,8,High,High,Rice
Chalky,Peas,6,Medium,High,Oats
Peaty,Soybean,16,High,Medium,Sesame
Sandy,Sunflower,3,Medium,High,Millets
Loamy,Sesame,17,High,Low,Corn
Clay,Tomato,15,Medium,Medium,Oats
Chalky,Soybean,16,High,High,Flaxseed
Loamy,Sunflower,15,Medium,Low,Sunflower
Silty,Corn,7,Medium,Low,Tomato
Loamy,Soybean,18,Low,High,Corn
Silty,Soybean,2,Medium,High,Soybean
Peaty,Wheat,11,High,High,Soybean
Clay,Barley,20,Medium,High,Banana
Peaty,Mustard,16,Low,High,Soybean
Peaty,Chickpea,5,Medium,Low,Soybean
Chalky,Sunflower,14,Low,High,Oats
Silty,Maize,17,High,Low,Tomato
Clay,Soybean,10,Medium,Medium,Tea
Clay,Peas,4,Medium,Low,Cabbage
Peaty,Sugarcane,1,Medium,Medium,Lentils
Chalky,Rice,19,Low,High,Oats
Silty,Wheat,3,Low,High,Rice
Silty,Lentils,7,Medium,Low,Rice
Silty,Corn,9,Low,High,Rice
Peaty,Mustard,11,Medium,Low,Lentils
Chalky,Cotton,10,Low,High,Flaxseed
Sandy,Chickpea,20,Low,Low,Millets
Sandy,Sesame,11,High,Medium,Millets
Sandy,Corn,17,High,Medium,Cotton
Loamy,Corn,3,Medium,Low,Corn
Peaty,Sesame,2,Medium,Low,Lentils
Sandy,Wheat,15,Low,Low,Millets
Clay,Corn,1,Medium,Low,Carrot
Loamy,Soybean,1,Medium,Low,Peas
Clay,Soybean,7,Medium,High,Cabbage
Loamy,Lentils,18,High,Low,Sunflower
Chalky,Barley,19,Low,High,Oats
Silty,Soybean,13,Low,Low,Tomato
Chalky,Corn,17,Medium,High,Barley
Sandy,Corn,19,High,Medium,Cotton
Loamy,Barley,8,High,High,Peas
Peaty,Tomato,14,High,Low,Sesame
Clay,Mustard,4,Medium,Medium,Peas
Chalky,Corn,7,Medium,High,Oats
Sandy,Corn,12,Medium,Low,Cotton
Silty,Mustard,1,Low,Low,Tomato
Loamy,Mustard,14,High,High,Peas
Clay,Mustard,17,Medium,Low,Maize
Sandy,Lentils,12,High,Medium,Millets
Sandy,Barley,19,High,High,Millets
Peaty,Wheat,14,High,High,Sesame
Clay,Wheat,18,Low,High,Carrot
Silty,Sesame,9,Low,Medium,Tomato
Chalky,Chickpea,10,High,Medium,Flaxseed
Peaty,Mustard,7,Medium,Medium,Soybean
Peaty,Wheat,19,Medium,Medium,Lentils
Silty,Wheat,19,Medium,Medium,Tomato
Silty,Flaxseed,8,Low,Low,Rice
Sandy,Corn,10,Medium,Medium,Millets
Clay,Tomato,16,Medium,High,Pumpkin
Sandy,Lentils,16,Medium,Low,Cotton
Peaty,Tomato,9,High,Medium,Lentils
Chalky,Corn,18,Low,Medium,Oats
Peaty,Lentils,14,Low,High,Sesame
Peaty,Sunflower,7,High,Low,Soybean
Silty,Sesame,10,High,High,Rice
Loamy,Chickpea,2,High,High,Sunflower
Chalky,Corn,19,High,High,Flaxseed
Silty,Wheat,6,Low,High,Rice
Silty,Wheat,14,Medium,Medium,Soybean
Loamy,Sugarcane,13,Low,High,Corn
Clay,Peas,5,High,Medium,Groundnut
Sandy,Sugarcane,5,Low,Low,Mustard
Peaty,Barley,12,Medium,Low,Soybean
Chalky,Mustard,10,Low,Low,Flaxseed
Sandy,Chickpea,19,Medium,Low,Mustard
Peaty,Peas,1,Low,Medium,Lentils
Chalky,Wheat,12,High,High,Flaxseed
Sandy,Wheat,5,High,Medium,Millets
Silty,Barley,19,Low,Medium,Rice
Chalky,Mustard,2,Medium,High,Barley
Sandy,Soybean,9,High,Low,Millets
Chalky,Wheat,14,Medium,Medium,Oats
Loamy,Peas,9,Medium,Low,Peas
Peaty,Wheat,20,Medium,Medium,Lentils
Chalky,Mustard,8,Low,Medium,Flaxseed
Clay,Lentils,8,Low,Low,Wheat
Loamy,Soybean,2,Low,Low,Corn
Peaty,Sesame,6,Low,High,Soybean
Loamy,Barley,17,High,Medium,Peas
Loamy,Corn,12,High,High,Sunflower
Sandy,Peas,7,High,Medium,Millets
Loamy,Corn,5,High,Low,Sunflower
Clay,Chickpea,11,Low,High,Tomato
Sandy,Flaxseed,15,Medium,Medium,Cotton
Loamy,Barley,20,Medium,High,Peas
Chalky,Sunflower,14,Medium,Low,Barley
Sandy,Sesame,1,Low,High,Cotton
Silty,Chickpea,9,Low,Low,Tomato
Chalky,Tomato,11,Medium,High,Oats
Chalky,Chickpea,2,Medium,Medium,Barley
Peaty,Lentils,9,High,High,Sesame
Peaty,Flaxseed,9,High,High,Sesame
Clay,Mustard,7,Low,Medium,Sugarcane
Clay,Flaxseed,16,High,High,Sunflower
Peaty,Flaxseed,15,High,Low,Soybean
Peaty,Peas,9,High,High,Lentils
Silty,Millets,18,Low,High,Tomato
Chalky,Peas,4,Medium,High,Oats
Loamy,Chickpea,12,High,Medium,Corn
Loamy,Lentils,4,High,Medium,Peas
Clay,Sugarcane,18,Low,Low,Cotton
Loamy,Corn,7,Medium,Low,Sunflower
Peaty,Peas,17,Low,Medium,Soybean
Sandy,Peas,5,Medium,High,Cotton
Loamy,Sugarcane,3,Medium,Medium,Corn
Silty,Barley,12,Low,Low,Soybean
Peaty,Peas,8,High,Low,Sesame
Peaty,Corn,18,Medium,Low,Lentils
Peaty,Soybean,4,High,Medium,Lentils
Loamy,Corn,14,Low,Low,Sunflower
Clay,Soybean,11,Medium,Low,Cotton
Chalky,Millets,19,High,Low,Oats
Sandy,Sugarcane,15,High,Medium,Millets
Chalky,Barley,8,Low,High,Oats
Silty,Chickpea,15,Low,Low,Tomato
Loamy,Flaxseed,13,High,High,Peas
Chalky,Tomato,12,Medium,High,Flaxseed
Clay,Rice,7,Low,Low,Carrot
Peaty,Barley,20,Medium,High,Soybean
Sandy,Lentils,13,Medium,Medium,Millets
Peaty,Soybean,5,High,Medium,Sesame
Loamy,Soybean,5,Medium,Medium,Peas
Peaty,Lentils,5,High,Medium,Sesame
Chalky,Barley,14,Low,High,Barley
Silty,Peas,13,Low,Medium,Rice
Chalky,Chickpea,11,Low,High,Oats
Loamy,Sunflower,15,High,High,Peas
Sandy,Chickpea,18,High,Medium,Mustard
Silty,Peas,10,High,Medium,Soybean
Clay,Rice,14,Medium,Low,Pumpkin
Chalky,Mustard,12,Low,Medium,Oats
Sandy,Flaxseed,12,High,Medium,Millets
Peaty,Corn,3,Low,Low,Lentils
Silty,Peas,4,Low,Low,Soybean
Silty,Soybean,3,Low,High,Tomato
Loamy,Mustard,14,Low,Medium,Corn
Clay,Mustard,15,Low,Low,Potato
Silty,Sesame,12,Medium,Low,Rice
Peaty,Lentils,10,Low,High,Lentils
Peaty,Mustard,4,Medium,Medium,Lentils
Clay,Sunflower,11,High,High,Mustard
Sandy,Lentils,1,High,High,Millets
Clay,Soybean,12,Low,High,Oats
Peaty,Chickpea,10,High,High,Soybean
Loamy,Soybean,7,Medium,High,Sunflower
Clay,Millets,6,High,Medium,Brinjal
Peaty,Mustard,4,Low,High,Soybean
Loamy,Corn,2,High,Low,Peas
Peaty,Lentils,10,Medium,High,Lentils
Loamy,Wheat,12,Medium,Medium,Corn
Chalky,Mustard,20,Low,Low,Flaxseed
Chalky,Maize,8,Medium,Low,Flaxseed
Peaty,Peas,18,Low,High,Soybean
Loamy,Sesame,11,High,Low,Sunflower
Silty,Soybean,6,High,High,Soybean
Loamy,Sesame,19,High,Medium,Corn
Silty,Chickpea,14,Medium,Medium,Rice
Sandy,Tomato,2,Low,Low,Cotton
Silty,Corn,8,Low,High,Tomato
Silty,Soybean,13,High,High,Tomato
Sandy,Tomato,17,High,Low,Mustard
Sandy,Cotton,5,Medium,Low,Mustard
Sandy,Rice,19,High,Medium,Cotton
Clay,Cotton,12,Medium,Low,Pumpkin
Loamy,Flaxseed,6,Low,Low,Corn
Loamy,Barley,18,Low,Medium,Corn
Loamy,Wheat,14,Low,Medium,Sunflower
Peaty,Chickpea,14,Medium,Medium,Soybean
Loamy,Chickpea,10,Low,High,Sunflower
Sandy,Peas,1,High,Low,Mustard
Loamy,Tomato,10,Low,Medium,Corn
Chalky,Wheat,3,Medium,High,Oats
Sandy,Chickpea,13,High,Low,Millets
Silty,Mustard,2,High,Low,Soybean
Silty,Lentils,11,High,High,Rice
Clay,Soybean,18,High,Low,Chickpea
Loamy,Sunflower,12,High,High,Corn
Clay,Wheat,18,Medium,High,Flaxseed
Silty,Mustard,7,High,High,Rice
Peaty,Mustard,19,Low,Low,Sesame
Chalky,Sesame,5,High,Medium,Oats
Peaty,Soybean,7,High,Low,Sesame
Clay,Soybean,8,Medium,Medium,Onion
Loamy,Corn,6,Low,Medium,Sunflower
Silty,Mustard,12,Low,Low,Soybean
Sandy,Soybean,3,Medium,Medium,Millets
Peaty,Corn,12,Low,Low,Soybean
Silty,Chickpea,8,High,Low,Soybean
Clay,Flaxseed,7,Medium,Low,Carrot
Loamy,Wheat,15,Low,Medium,Peas
Loamy,Maize,13,High,Medium,Corn
Clay,Barley,3,Low,High,Onion
Loamy,Flaxseed,2,Medium,High,Sunflower
Loamy,Millets,5,High,Low,Sunflower
Loamy,Chickpea,13,High,Medium,Peas
Loamy,Soybean,10,Medium,High,Sunflower
Silty,Tomato,17,Medium,Low,Rice
Silty,Wheat,20,High,Medium,Soybean
Peaty,Soybean,9,High,Low,Soybean
Chalky,Corn,15,Low,High,Flaxseed
Chalky,Soybean,9,High,Low,Flaxseed
Silty,Barley,19,Medium,Medium,Soybean
Chalky,Sunflower,9,Low,Low,Barley
Chalky,Soybean,12,High,Low,Oats
Peaty,Lentils,16,High,Low,Sesame
Silty,Corn,10,High,Medium,Tomato
Loamy,Barley,15,High,Low,Sunflower
Peaty,Soybean,2,Medium,Low,Lentils
Peaty,Flaxseed,13,High,Low,Sesame
Sandy,Maize,9,Medium,Low,Cotton
Peaty,Flaxseed,1,High,Medium,Lentils
Clay,Chickpea,1,High,High,Onion
Clay,Sugarcane,5,Medium,Medium,Carrot
Peaty,Soybean,20,High,High,Lentils
Loamy,Maize,11,Medium,Low,Corn
Peaty,Barley,7,High,Low,Lentils
Loamy,Corn,13,High,Medium,Peas
Peaty,Rice,4,Medium,Medium,Lentils
Chalky,Wheat,5,High,Medium,Flaxseed
Chalky,Millets,13,Medium,High,Flaxseed
Sandy,Cotton,12,High,Low,Mustard
Peaty,Mustard,1,High,Low,Lentils
Clay,Chickpea,20,Low,Medium,Mustard
Loamy,Barley,13,High,Low,Peas
Clay,Corn,18,Medium,Medium,Brinjal
Chalky,Sugarcane,11,High,High,Barley
Silty,Peas,16,High,Medium,Rice
Peaty,Peas,13,High,Medium,Soybean
Peaty,Sesame,16,Medium,Medium,Lentils
Chalky,Tomato,1,Medium,Low,Flaxseed
Silty,Corn,12,Low,Low,Rice
Silty,Lentils,12,High,Low,Rice
Loamy,Corn,1,Medium,Medium,Corn
Loamy,Barley,6,Low,Low,Peas
Silty,Chickpea,8,High,High,Soybean
Silty,Soybean,9,Low,Medium,Tomato
Peaty,Peas,18,High,Medium,Lentils
Silty,Soybean,17,High,High,Tomato
Chalky,Barley,10,High,Low,Oats
Clay,Flaxseed,13,High,Low,Rice
Peaty,Corn,7,Low,High,Soybean
Peaty,Barley,18,Medium,Medium,Sesame
Sandy,Flaxseed,15,Low,High,Mustard
Clay,Sugarcane,15,Medium,High,Pumpkin
Loamy,Mustard,9,Medium,Medium,Sunflower
Silty,Sesame,18,High,High,Soybean
Silty,Soybean,18,Medium,Low,Soybean
Chalky,Tomato,5,High,Medium,Oats
Peaty,Soybean,13,High,Medium,Lentils
Silty,Millets,12,High,High,Soybean
Sandy,Lentils,17,High,High,Cotton
Silty,Lentils,19,Low,Medium,Rice
Chalky,Wheat,12,Low,Medium,Oats
Clay,Soybean,16,High,Low,Grapes
Chalky,Tomato,10,High,Medium,Flaxseed
Chalky,Corn,6,High,Low,Oats
Sandy,Corn,8,High,High,Mustard
Peaty,Peas,2,Low,High,Soybean
Silty,Flaxseed,12,High,Low,Soybean
Peaty,Sesame,11,Medium,Low,Soybean
Silty,Sugarcane,20,High,Low,Soybean
Clay,Sunflower,18,Medium,Medium,Maize
Clay,Corn,6,Low,Medium,Corn
Chalky,Soybean,7,Medium,High,Oats
Silty,Mustard,5,High,High,Rice
Peaty,Tomato,20,Low,Low,Soybean
Clay,Sunflower,15,Low,Low,Cotton
Sandy,Chickpea,15,Low,Low,Mustard
Chalky,Soybean,3,High,Low,Barley
Loamy,Sunflower,17,Medium,Low,Sunflower
Clay,Sugarcane,12,Low,Medium,Groundnut
Clay,Corn,3,Medium,Low,Chickpea
Sandy,Mustard,19,Low,Medium,Millets
Chalky,Flaxseed,16,Medium,High,Barley
Silty,Mustard,11,High,High,Soybean
Peaty,Mustard,11,Low,Medium,Lentils
Chalky,Corn,10,Medium,High,Oats
Sandy,Sunflower,15,Medium,High,Mustard
Loamy,Soybean,4,Low,High,Sunflower
Sandy,Mustard,9,Low,Medium,Millets
Clay,Sunflower,13,Low,Low,Garlic
Silty,Chickpea,9,High,Medium,Rice
Silty,Sesame,13,High,Medium,Tomato
Loamy,Peas,11,Medium,Low,Sunflower
Clay,Cotton,3,Medium,Medium,Barley
Chalky,Soybean,4,High,Medium,Barley
Sandy,Mustard,2,High,Medium,Mustard
Loamy,Wheat,4,Low,Low,Peas
Silty,Soybean,14,Low,Medium,Tomato
Sandy,Flaxseed,1,Medium,Low,Mustard
Peaty,Rice,16,Medium,Medium,Lentils
Sandy,Sunflower,18,Medium,Medium,Mustard
Chalky,Mustard,18,Low,Low,Barley
Peaty,Peas,20,Low,High,Sesame
Silty,Chickpea,9,Low,Medium,Tomato
Sandy,Chickpea,15,High,High,Mustard
Loamy,Barley,14,Low,Medium,Sunflower
Sandy,Corn,1,Low,Medium,Mustard
Chalky,Corn,1,High,Low,Flaxseed
Peaty,Wheat,12,Low,Medium,Sesame
Sandy,Chickpea,15,Low,Low,Mustard
Silty,Peas,16,High,High,Tomato
Sandy,Tomato,12,Low,Low,Millets
Silty,Mustard,13,Low,Low,Rice
Silty,Chickpea,3,Medium,High,Soybean
Sandy,Flaxseed,10,High,Medium,Cotton
Loamy,Flaxseed,6,Medium,Medium,Corn
Sandy,Corn,18,High,High,Millets
Clay,Sugarcane,13,Low,Medium,Tomato
Peaty,Corn,9,High,Low,Sesame
Peaty,Rice,6,Medium,High,Soybean
Peaty,Sesame,1,Medium,Medium,Lentils
Sandy,Soybean,2,Low,High,Cotton
Clay,Sesame,1,Low,Medium,Groundnut
Loamy,Flaxseed,9,Medium,High,Peas
Chalky,Corn,18,Low,Low,Oats
Loamy,Wheat,13,High,Low,Peas
Chalky,Lentils,16,Low,High,Barley
Peaty,Soybean,9,High,Medium,Soybean
Peaty,Barley,1,Low,High,Lentils
Clay,Mustard,7,Medium,High,Maize
Loamy,Corn,10,Medium,High,Corn
Clay,Lentils,12,Medium,Low,Wheat
Silty,Sunflower,18,Low,Low,Soybean
Sandy,Soybean,15,Low,Low,Mustard
Chalky,Lentils,16,High,Medium,Flaxseed
Chalky,Tomato,20,High,Low,Oats
Loamy,Sunflower,4,Low,Low,Peas
Peaty,Peas,1,High,Low,Soybean
Silty,Corn,14,Low,Medium,Rice
Loamy,Sesame,11,Medium,High,Corn
Peaty,Wheat,4,Low,Medium,Lentils
Clay,Soybean,20,Low,Medium,Tea
Clay,Wheat,17,High,Low,Grapes
Peaty,Lentils,5,Medium,Low,Sesame
Clay,Mustard,16,Medium,Medium,Coffee
Sandy,Chickpea,13,High,High,Cotton
Clay,Sesame,8,Low,Low,Orange
Chalky,Soybean,6,High,Low,Barley
Silty,Soybean,9,Low,Medium,Tomato
Clay,Maize,17,High,Low,Mustard
Clay,Corn,9,High,High,Flaxseed
Silty,Mustard,10,Low,Low,Rice
Sandy,Millets,13,Low,High,Mustard
Chalky,Lentils,17,Medium,Medium,Flaxseed
Chalky,Peas,6,Medium,High,Barley
Chalky,Soybean,16,Medium,Low,Oats
Peaty,Sugarcane,6,High,Low,Lentils
Peaty,Mustard,16,Low,Medium,Lentils
Peaty,Lentils,5,High,Low,Lentils
Chalky,Sugarcane,10,High,Low,Oats
Silty,Sesame,17,Low,Low,Soybean
Chalky,Tomato,13,High,Medium,Flaxseed
Loamy,Barley,11,High,Low,Peas
Sandy,Lentils,11,Low,Medium,Mustard
Sandy,Peas,19,Low,Low,Mustard
Loamy,Sugarcane,6,High,High,Peas
Chalky,Chickpea,2,High,Low,Barley
Sandy,Wheat,9,High,Medium,Cotton
Loamy,Soybean,18,High,Medium,Sunflower
Chalky,Barley,4,Medium,Low,Barley
Peaty,Corn,19,High,High,Soybean
Silty,Mustard,18,Low,Medium,Tomato
Sandy,Soybean,2,Medium,Low,Cotton
Silty,Wheat,11,Low,Low,Rice
Silty,Soybean,18,High,High,Soybean
Silty,Sugarcane,15,Low,High,Soybean
Chalky,Sesame,18,Low,High,Oats
Clay,Flaxseed,9,Medium,Medium,Brinjal
Chalky,Peas,4,Medium,Low,Oats
Silty,Soybean,4,High,High,Rice
Sandy,Peas,7,High,Medium,Mustard
Clay,Barley,6,Low,High,Maize
Loamy,Soybean,12,Medium,Medium,Sunflower
Chalky,Sunflower,5,Medium,Medium,Flaxseed
Sandy,Corn,7,Medium,Low,Mustard
Chalky,Soybean,9,High,Low,Flaxseed
Clay,Lentils,16,High,Low,Carrot
Loamy,Lentils,18,Medium,High,Peas
Peaty,Sunflower,4,Low,Low,Lentils
Clay,Corn,9,Medium,Medium,Chickpea
Chalky,Corn,13,Low,Low,Flaxseed
Loamy,Wheat,5,Medium,High,Sunflower
Peaty,Soybean,3,Medium,High,Soybean
Chalky,Lentils,20,High,Medium,Flaxseed
Chalky,Mustard,5,High,Low,Barley
Peaty,Flaxseed,6,High,Low,Lentils
Loamy,Mustard,1,Low,Medium,Corn
Chalky,Sunflower,8,Low,Medium,Barley
Silty,Chickpea,4,Low,High,Rice
Silty,Soybean,18,High,Low,Tomato
Clay,Lentils,19,High,Low,Barley
Clay,Flaxseed,1,Medium,Low,Cabbage
Chalky,Lentils,17,Low,High,Flaxseed
Silty,Wheat,6,Medium,Low,Rice
Sandy,Wheat,3,Low,Low,Millets
Silty,Peas,6,High,Medium,Rice
Clay,Wheat,20,High,Low,Chickpea
Clay,Millets,10,Low,High,Corn
Peaty,Mustard,1,Low,High,Lentils
Loamy,Lentils,12,High,Low,Sunflower
Silty,Sunflower,10,Low,Low,Tomato
Peaty,Corn,17,Medium,Low,Soybean
Silty,Soybean,1,Medium,Medium,Tomato
Peaty,Wheat,18,Low,Low,Lentils
Loamy,Corn,5,High,Low,Corn
Clay,Barley,14,Medium,Medium,Peas
Peaty,Mustard,6,High,Low,Sesame
Silty,Barley,13,Low,High,Soybean
Silty,Tomato,13,Medium,Medium,Rice
Loamy,Soybean,6,Medium,High,Sunflower
Clay,Barley,2,Low,High,Carrot
Loamy,Mustard,12,Medium,Medium,Corn
Loamy,Mustard,8,Low,Medium,Peas
Sandy,Lentils,16,Low,High,Cotton
Loamy,Corn,19,Low,Low,Sunflower
Chalky,Wheat,14,Medium,Low,Barley
Sandy,Millets,2,High,Low,Mustard
Sandy,Flaxseed,10,High,Low,Mustard
Peaty,Cotton,9,Medium,High,Lentils
Silty,Rice,1,Medium,Medium,Tomato
Clay,Sugarcane,8,Low,High,Pumpkin
Clay,Soybean,19,Medium,Low,Tea
Peaty,Lentils,1,Low,High,Sesame
Sandy,Corn,10,High,Low,Cotton
Sandy,Corn,20,Medium,Low,Cotton
Chalky,Peas,5,Medium,Medium,Barley
Clay,Flaxseed,13,Low,Medium,Pumpkin
Sandy,Sugarcane,13,High,Low,Millets
Sandy,Chickpea,18,Medium,High,Mustard
Peaty,Flaxseed,13,High,Low,Soybean
Peaty,Corn,3,Low,Low,Soybean
Silty,Barley,1,High,High,Rice
Peaty,Peas,17,High,Medium,Soybean
Clay,Lentils,11,Low,Low,Groundnut
Chalky,Peas,3,Low,Medium,Flaxseed
Silty,Millets,16,Medium,High,Soybean
Peaty,Tomato,9,Medium,High,Soybean
Peaty,Peas,16,Medium,Low,Lentils
Loamy,Chickpea,6,Low,Medium,Sunflower
Chalky,Sugarcane,11,High,Low,Barley
Sandy,Lentils,12,High,High,Millets
Clay,Mustard,18,Low,Low,Spinach
Loamy,Mustard,6,Medium,Low,Corn
Loamy,Soybean,3,High,Medium,Peas
Clay,Peas,17,Medium,High,Potato
Sandy,Soybean,16,Medium,Low,Mustard
Peaty,Millets,10,Medium,Medium,Soybean
Loamy,Sunflower,1,Medium,Low,Peas
Sandy,Rice,17,Low,Medium,Cotton
Chalky,Barley,1,Low,Medium,Flaxseed
Chalky,Chickpea,1,Medium,Low,Oats
Sandy,Barley,9,Medium,High,Mustard
Clay,Rice,18,High,Medium,Apple
Loamy,Mustard,3,Medium,Low,Peas
Clay,Barley,6,Low,Low,Sesame
Sandy,Corn,19,Medium,Medium,Cotton
Loamy,Wheat,14,Low,High,Peas
Peaty,Rice,20,Medium,Medium,Lentils
Silty,Wheat,14,Medium,Medium,Tomato
Silty,Sunflower,19,Medium,High,Tomato
Sandy,Corn,13,Medium,High,Cotton
Sandy,Sesame,10,Low,High,Cotton
Peaty,Sugarcane,7,Low,Medium,Lentils
Chalky,Soybean,19,Medium,Low,Flaxseed
Clay,Wheat,3,High,High,Banana
Peaty,Tomato,6,Low,Medium,Lentils
Sandy,Barley,12,High,Low,Millets
Loamy,Rice,9,Medium,High,Corn
Loamy,Chickpea,18,High,High,Peas
Clay,Wheat,5,High,High,Sesame
Silty,Peas,1,High,Medium,Tomato
Silty,Soybean,5,Low,Medium,Soybean
Sandy,Lentils,5,Medium,Low,Cotton
Clay,Lentils,15,High,Low,Coffee
Chalky,Flaxseed,19,Medium,Low,Flaxseed
Silty,Millets,3,Low,Medium,Tomato
Clay,Flaxseed,20,Medium,High,Pumpkin
Chalky,Rice,14,Low,High,Flaxseed
Clay,Corn,15,Low,Low,Brinjal
Sandy,Sunflower,7,Low,Medium,Mustard
Silty,Wheat,7,Medium,Medium,Tomato
Chalky,Lentils,11,High,Low,Flaxseed
Silty,Lentils,10,High,Medium,Rice
Silty,Lentils,16,Low,Low,Tomato
Silty,Lentils,3,Low,Medium,Rice
Clay,Barley,16,Low,Medium,Mustard
Chalky,Soybean,6,High,High,Oats
Silty,Chickpea,11,High,Low,Soybean
Peaty,Cotton,19,High,Low,Lentils
Loamy,Soybean,3,Low,Low,Peas
Loamy,Mustard,5,Low,Medium,Corn
Loamy,Soybean,19,Low,Medium,Corn
Chalky,Mustard,1,High,Low,Oats
Peaty,Lentils,14,High,Low,Lentils
